"IC/JC코드","IC/JC명","노선코드","노선명","X좌표값","Y좌표값",
"0010I00001","구서IC","0010","경부선","129.097620","35.250710",
"0010I00003","양산IC","0010","경부선","129.053314","35.378218",
"0010I00004","통도사IC","0010","경부선","129.097021","35.498747",
"0010I00005","서울산IC","0010","경부선","129.126636","35.553861",
"0010I00008","경주IC","0010","경부선","129.187987","35.806331",
"0010I00009","건천IC","0010","경부선","129.087849","35.843278",
"0010I00010","영천IC","0010","경부선","128.951460","35.922380",
"0010I00011","경산IC","0010","경부선","128.788225","35.878149",
"0010I00013","북대구IC","0010","경부선","128.579858","35.906979",
"0010I00016","남구미IC","0010","경부선","128.370149","36.068138",
"0010I00017","구미IC","0010","경부선","128.362376","36.107744",
"0010I00019","김천IC","0010","경부선","128.094609","36.133790",
"0010I00020","추풍령IC","0010","경부선","128.001690","36.200379",
"0010I00021","황간IC","0010","경부선","127.908085","36.220617",
"0010I00022","영동IC","0010","경부선","127.834783","36.270274",
"0010I00023","금강IC","0010","경부선","127.673348","36.279278",
"0010I00024","옥천IC","0010","경부선","127.559532","36.317789",
"0010I00026","대전IC","0010","경부선","127.452377","36.364235",
"0010I00028","신탄진IC","0010","경부선","127.420961","36.440800",
"0010I00029","남청주IC","0010","경부선","127.432157","36.534315",
"0010I00031","청주IC","0010","경부선","127.385014","36.626784",
"0010I00032","목천IC","0010","경부선","127.219247","36.758790",
"0010I00034","천안IC","0010","경부선","127.171309","36.826284",
"0010I00035","안성IC","0010","경부선","127.156069","36.994219",
"0010I00037","오산IC","0010","경부선","127.086371","37.142691",
"0010I00038","기흥IC","0010","경부선","127.102657","37.223075",
"0010I00039","수원신갈IC","0010","경부선","127.105614","37.266266",
"0010I00043","대왕판교IC","0010","경부선","127.091972","37.409462",
"0010I00045","양재IC","0010","경부선","127.042014","37.463229",
"0010I00049","왜관IC","0010","경부선","128.434690","35.977351",
"0010I00053","영천IC","0010","경부선","128.950876","35.920798",
"0010I00054","판교IC","0010","경부선","127.101818","37.397562",
"0010I00057","노포IC","0010","경부선","129.100720","35.285107",
"0010I00058","김천IC","0010","경부선","128.094530","36.135315",
"0010I00059","추풍령IC","0010","경부선","128.004895","36.199818",
"0010I00063","칠곡물류IC","0010","경부선","128.457305","35.956801",
