호선_x,역명,구분,방법1_가중치_물류량,방법2_cluster3_가중치_물류량,방법2_cluster4_가중치_물류량,Unnamed: 0,차량기지,호선_y,전철역코드,수송비용,유휴공간,교통량
2호선,봉천,관악구,210505.69719182883,1311279.3966026297,1117762.52113871,38,신정차량사업소,2,229,0.5099667774086378,0.0058787060634025,0.8425072150362158
2호선,낙성대,관악구,210505.69719182883,1311279.3966026297,1117762.52113871,36,신정차량사업소,2,227,0.4767441860465115,0.0221765190863802,0.8425072150362158
2호선,서울대입구,관악구,210505.69719182883,1311279.3966026297,1117762.52113871,37,신정차량사업소,2,228,0.4933554817275746,0.0090471500183143,0.8425072150362158
2호선,신림,관악구,210505.69719182883,1311279.3966026297,1117762.52113871,39,신정차량사업소,2,230,0.5282392026578072,0.0085423734078504,0.8425072150362158
1호선,서울,중구,47542.34590942934,402557.711570191,287292.14249927195,0,군자차량사업소,1,150,0.0,0.0058243455053525,0.951468330211507
1호선,서울,중구,47542.34590942934,402557.711570191,287292.14249927195,113,창동차량사업소,4,426,0.6214511041009463,,0.5956364104089458
4호선,서울,용산구,63435.34629890531,465000.5904380449,331855.5626950873,0,군자차량사업소,1,150,0.0,0.0058243455053525,0.951468330211507
4호선,서울,용산구,63435.34629890531,465000.5904380449,331855.5626950873,113,창동차량사업소,4,426,0.6214511041009463,,0.5956364104089458
1호선,시청,중구,47542.34590942934,402557.711570191,287292.14249927195,1,군자차량사업소,1,151,0.141025641025641,0.0224340845876169,0.951468330211507
1호선,시청,중구,47542.34590942934,402557.711570191,287292.14249927195,10,신정차량사업소,2,201,0.0,,0.951468330211507
1호선,시청,중구,47542.34590942934,402557.711570191,287292.14249927195,53,신정차량사업소,2,201,0.8106312292358803,,0.951468330211507
2호선,시청,중구,47542.34590942934,402557.711570191,287292.14249927195,1,군자차량사업소,1,151,0.141025641025641,0.0224340845876169,0.951468330211507
2호선,시청,중구,47542.34590942934,402557.711570191,287292.14249927195,10,신정차량사업소,2,201,0.0,,0.951468330211507
2호선,시청,중구,47542.34590942934,402557.711570191,287292.14249927195,53,신정차량사업소,2,201,0.8106312292358803,,0.951468330211507
2호선,을지로입구,중구,47542.34590942934,402557.711570191,287292.14249927195,11,신정차량사업소,2,202,0.0116279069767441,0.0934936883509207,0.951468330211507
2호선,을지로3가,중구,47542.34590942934,402557.711570191,287292.14249927195,12,신정차량사업소,2,203,0.0249169435215946,0.0215190151937759,0.951468330211507
2호선,을지로3가,중구,47542.34590942934,402557.711570191,287292.14249927195,73,지축차량사업소,3,320,0.7796610169491526,0.0073257323467323,0.951468330211507
3호선,을지로3가,중구,47542.34590942934,402557.711570191,287292.14249927195,12,신정차량사업소,2,203,0.0249169435215946,0.0215190151937759,0.951468330211507
3호선,을지로3가,중구,47542.34590942934,402557.711570191,287292.14249927195,73,지축차량사업소,3,320,0.7796610169491526,0.0073257323467323,0.951468330211507
2호선,을지로4가,중구,47542.34590942934,402557.711570191,287292.14249927195,13,신정차량사업소,2,204,0.0348837209302325,0.0209081060652145,0.951468330211507
2호선,을지로4가,중구,47542.34590942934,402557.711570191,287292.14249927195,147,방화차량사업소,5,2536,0.8795986622073578,0.0238280446118979,0.951468330211507
5호선,을지로4가,중구,47542.34590942934,402557.711570191,287292.14249927195,13,신정차량사업소,2,204,0.0348837209302325,0.0209081060652145,0.951468330211507
5호선,을지로4가,중구,47542.34590942934,402557.711570191,287292.14249927195,147,방화차량사업소,5,2536,0.8795986622073578,0.0238280446118979,0.951468330211507
2호선,동대문역사문화공원,중구,47542.34590942934,402557.711570191,287292.14249927195,14,신정차량사업소,2,205,0.0514950166112956,0.029669216004266,0.951468330211507
2호선,동대문역사문화공원,중구,47542.34590942934,402557.711570191,287292.14249927195,109,창동차량사업소,4,422,0.5078864353312303,0.0285742390492597,0.951468330211507
2호선,동대문역사문화공원,중구,47542.34590942934,402557.711570191,287292.14249927195,148,방화차량사업소,5,2537,0.9096989966555185,,0.951468330211507
4호선,동대문역사문화공원,중구,47542.34590942934,402557.711570191,287292.14249927195,14,신정차량사업소,2,205,0.0514950166112956,0.029669216004266,0.951468330211507
4호선,동대문역사문화공원,중구,47542.34590942934,402557.711570191,287292.14249927195,109,창동차량사업소,4,422,0.5078864353312303,0.0285742390492597,0.951468330211507
4호선,동대문역사문화공원,중구,47542.34590942934,402557.711570191,287292.14249927195,148,방화차량사업소,5,2537,0.9096989966555185,,0.951468330211507
5호선,동대문역사문화공원,중구,47542.34590942934,402557.711570191,287292.14249927195,14,신정차량사업소,2,205,0.0514950166112956,0.029669216004266,0.951468330211507
