호선,역명,IC명,거리(km)
8호선,장지,송파IC,0.4314056568708802
8호선,복정,송파IC,0.46136439404648333
8호선,복정,송파IC,0.46629862430862645
8호선,장지,송파IC,0.5685931681045154
8호선,모란,성남IC,0.8129524135454071
5호선,강일,상일IC,0.8898472790802247
5호선,강일,상일IC,1.0094675176893244
8호선,문정,송파IC,1.3104422630601376
5호선,상일동,상일IC,1.4205149967762634
8호선,문정,송파IC,1.4396411056279077
5호선,상일동,상일IC,1.4478299267812569
8호선,남위례,송파IC,1.5184903005285437
8호선,남위례,송파IC,1.6641821282328475
8호선,수진,성남IC,1.8092924630032605
5호선,미사,상일IC,1.8275278629235037
5호선,상일동,강일IC,1.8519624193683153
5호선,올림픽공원,서하남IC,1.8683961710175634
5호선,마천,서하남IC,1.8750194644870684
5호선,상일동,강일IC,1.875634925731264
5호선,강일,강일IC,1.9071238552060954
5호선,마천,서하남IC,1.9342079226836146
5호선,미사,상일IC,1.9949025928985535
5호선,강일,강일IC,2.0033292088638452
5호선,미사,미사IC,2.0260137810602377
5호선,올림픽공원,서하남IC,2.04006750531901
5호선,하남풍산,상일IC,2.0915079347137824
3호선,가락시장,송파IC,2.120723681572356
5호선,미사,선동IC,2.122901151581735
5호선,개롱,서하남IC,2.1660768485886708
8호선,가락시장,송파IC,2.1789398482730435
5호선,하남풍산,상일IC,2.1833012204098097
5호선,둔촌동,서하남IC,2.186993099229696
5호선,거여,서하남IC,2.2301520221874838
5호선,거여,서하남IC,2.231276362161662
5호선,개롱,서하남IC,2.2410365118348388
3호선,가락시장,송파IC,2.252589404395057
5호선,고덕,강일IC,2.2550690624819896
5호선,강일,선동IC,2.2741709275171598
7호선,가산디지털단지,금천IC,2.2830995293901366
5호선,방이,서하남IC,2.2856287983889425
8호선,가락시장,송파IC,2.3085587749780743
5호선,고덕,상일IC,2.330211314066993
3호선,경찰병원,송파IC,2.3306180185719803
3호선,오금,서하남IC,2.3337197827380516
5호선,둔촌동,서하남IC,2.3344102538817184
5호선,고덕,상일IC,2.3587023741548747
5호선,오금,서하남IC,2.386800505112442
5호선,고덕,강일IC,2.400633375599579
3호선,경찰병원,송파IC,2.4274087888586586
5호선,거여,송파IC,2.4342844491881994
5호선,방이,서하남IC,2.4374738479191675
3호선,오금,서하남IC,2.4526929192445763
5호선,미사,강일IC,2.4590037501132387
3호선,양재,양재IC,2.459236882660594
5호선,거여,송파IC,2.46026836187748
8호선,신흥,성남IC,2.50587410617372
5호선,오금,서하남IC,2.506787470163023
5호선,하남시청,상일IC,2.530836366325619
5호선,하남시청,상일IC,2.5439643243029004
5호선,상일동,선동IC,2.555729706020132
7호선,철산,금천IC,2.614704527423477
8호선,산성,송파IC,2.630855591810251
5호선,개롱,송파IC,2.6332070868823005
5호선,개롱,송파IC,2.671455091539443
3호선,매봉,양재IC,2.6907652191564018
9호선,개화,김포IC,2.6930882479924114
5호선,미사,강일IC,2.694121980314904
3호선,수서,송파IC,2.7401004830843187
8호선,산성,송파IC,2.7891517023157224
7호선,남구로,금천IC,2.8319890818387843
2호선,구로디지털단지,금천IC,2.8846271981236136
3호선,수서,송파IC,2.9110049236005575
5호선,강일,미사IC,3.0182963774926286
5호선,오금,송파IC,3.025153756548667
5호선,길동,서하남IC,3.0299732556037666
3호선,오금,송파IC,3.0317003629887336
3호선,경찰병원,서하남IC,3.038251760168065
5호선,마천,송파IC,3.053029006965716
5호선,명일,강일IC,3.0770564438195525
8호선,송파,송파IC,3.0927423592176453
5호선,상일동,토평IC,3.0934440105256744
5호선,오금,송파IC,3.1009529427465425
3호선,오금,송파IC,3.1046233248188053
5호선,강동,서하남IC,3.105118159178843
5호선,마천,송파IC,3.1087688264142455
5호선,상일동,토평IC,3.1274012470829935
3호선,경찰병원,서하남IC,3.1363548789699425
5호선,명일,상일IC,3.1403529556899024
5호선,길동,서하남IC,3.14102470933793
5호선,명일,상일IC,3.2017614259841087
5호선,고덕,토평IC,3.211985646660502
5호선,고덕,토평IC,3.214655017967596
8호선,송파,송파IC,3.2284460877241026
5호선,강동,서하남IC,3.2430077800709447
5호선,굽은다리,상일IC,3.2531656353375826
5호선,명일,강일IC,3.2635453077960066
5호선,고덕,선동IC,3.274110055576212
6호선,신내,구리IC,3.304241748157287
3호선,남부터미널,양재IC,3.313882932196561
5호선,강일,토평IC,3.3185919170902967
3호선,도곡,양재IC,3.3289348189426744
5호선,굽은다리,상일IC,3.345284028315872
5호선,강일,토평IC,3.373330964963735
8호선,강동구청,서하남IC,3.3965032229269614
5호선,하남풍산,미사IC,3.420182423830002
8호선,단대오거리,성남IC,3.430549175031828
6호선,신내,구리IC,3.45396226982483
8호선,몽촌토성,서하남IC,3.476011237322473
2호선,대림,금천IC,3.5343715332271763
8호선,강동구청,서하남IC,3.5619912154684688
5호선,상일동,미사IC,3.566780480595903
2호선,신대방,금천IC,3.573886533548161
7호선,대림,금천IC,3.6160379273584518
8호선,가락시장,서하남IC,3.6395930778540944
8호선,몽촌토성,서하남IC,3.6463113940109584
4호선,당고개,별내IC,3.66220455953119
8호선,남한산성입구,송파IC,3.665809181518571
5호선,굽은다리,강일IC,3.6722792669365427
5호선,길동,상일IC,3.677616070487433
5호선,하남풍산,선동IC,3.6879594810786727
3호선,가락시장,서하남IC,3.694358993930745
5호선,개화산,김포IC,3.712432202909586
5호선,방화,김포IC,3.724165097090179
8호선,가락시장,서하남IC,3.7400003851663093
8호선,송파,서하남IC,3.749593958017901
5호선,방이,송파IC,3.754720814661708
