구분,총물류량,cluster3,cluster4,cluster3_가중치,cluster4_가중치,cluster3_가중치_물류량,cluster4_가중치_물류량
송파구,13640283,1,1,1.0,1.0,27280566.0,27280566.0
강남구,13251257,1,1,1.0,1.0,26502514.0,26502514.0
강서구,11821934,1,1,1.0,1.0,23643868.0,23643868.0
성북구,10351397,0,2,0.5,0.667,15527095.5,17255778.799
마포구,9259515,0,2,0.5,0.667,13889272.5,15435611.505
금천구,8391932,0,2,0.5,0.667,12587898.0,13989350.644
성동구,7736622,0,2,0.5,0.667,11604933.0,12896948.874
서초구,7465107,0,2,0.5,0.667,11197660.5,12444333.369
영등포구,7187809,0,0,0.5,0.333,10781713.5,9581349.397
동대문구,6632463,2,0,0.0,0.333,6632463.0,8841073.179
구로구,6217953,2,0,0.0,0.333,6217953.0,8288531.348999999
용산구,6190944,2,0,0.0,0.333,6190944.0,8252528.352
관악구,6071239,2,0,0.0,0.333,6071239.0,8092961.586999999
중랑구,5990325,2,0,0.0,0.333,5990325.0,7985103.225
노원구,5878777,2,0,0.0,0.333,5878777.0,7836409.740999999
강동구,5828592,2,0,0.0,0.333,5828592.0,7769513.136
중구,5658953,2,0,0.0,0.333,5658953.0,7543384.348999999
광진구,5633485,2,0,0.0,0.333,5633485.0,7509435.505
양천구,5476088,2,0,0.0,0.333,5476088.0,7299625.304
은평구,5204325,2,0,0.0,0.333,5204325.0,6937365.225
동작구,4987602,2,3,0.0,0.0,4987602.0,4987602.0
도봉구,4550659,2,3,0.0,0.0,4550659.0,4550659.0
서대문구,4194272,2,3,0.0,0.0,4194272.0,4194272.0
종로구,3811981,2,3,0.0,0.0,3811981.0,3811981.0
강북구,3674677,2,3,0.0,0.0,3674677.0,3674677.0
