연번,명칭,소재지,건물연면적(㎡),층수,용도
1,본사,성동구 천호대로 346,23921,7,사무실
2,인재개발원,성동구 자동차시장길 22,24105,7,"교육, 사무실"
3,사당별관,서초구 효령로 5,16077,7,사무실
4,신답별관,성동구 천호대로 232,8183,10,사무실
5,대림별관,구로구 도림천로 352,8651,7,사무실
6,동대문별관,중구 을지로 287,11173,11,사무실
7,성산별관,마포구 월드컵로 202,2272,5,사무실
8,개화산별관,강서구 양천로 22,3568,2,사무실
9,한강진별관,용산구 이태원로 286,1777,2,사무실
10,이수별관,동작구 사당로 40,493,3,사무실
11,영등포시장별관,영등포구 영신로40길 15-1,431,5,사무실
12,신풍별관,영등포구 신풍로 6,934,3,사무실
13,대공원별관,광진구 능동로 247-1,1408,4,사무실
14,수색별관,마포구 성암로 165,1182,3,사무실
15,잠실별관,송파구 올림픽로 305,1385,3,사무실
16,군자차량사업소,성동구 천호대로 78길 58,79288,,차량기지
17,신정차량사업소,양천구 목동로 3길 41,79363,,차량기지
18,지축차량사업소,고양시 덕양구 삼송로 300,106412,,차량기지
19,수서차량사업소,강남구 밤고개로 5길 46-13,35141,,차량기지
20,창동차량사업소,노원구 노원로 573,34491,,차량기지
21,고덕차량사업소,강동구 아리수로87길 32,49718,,차량기지
22,방화차량사업소,강서구 금낭화로26가길 152-39,24558,,차량기지
23,신내차량사업소,중랑구 용마산로136길 33,31052,,차량기지
24,도봉차량사업소,의정부시 서계로 42,54471,,차량기지
25,천왕차량사업소,구로구 광남로 54,26478,,차량기지
26,모란차량사업소,성남시 중원구 여수대로 182,19792,,차량기지
