구분,10월,11월,12월,월 평균,일 평균
강남구,2096274,2355919,2411797,2287997,74609
강동구,1153240,1308600,1314334,1258725,41045
강북구,676537,770054,760443,735678,23990
강서구,1676638,1917028,1914856,1836174,59875
관악구,1334478,1504104,1492038,1443540,47072
광진구,967922,1086427,1088197,1047515,34158
구로구,1058351,1216298,1229996,1168215,38094
금천구,812839,897304,889541,866561,28257
노원구,1232720,1397611,1380335,1336889,43594
도봉구,719889,821272,810817,783993,25565
동대문구,930627,1051519,1049928,1010691,32957
동작구,1020371,1156297,1151930,1109533,36180
마포구,1213652,1379913,1408260,1333942,43498
서대문구,838594,947953,944260,910269,29683
서초구,1415295,1596887,1630603,1547595,50465
성동구,1000105,1126383,1153840,1093443,35656
성북구,1141843,1290333,1284411,1238862,40398
송파구,1907308,2162363,2174255,2081309,67869
양천구,1092138,1236814,1222601,1183851,38604
영등포구,1157009,1322541,1341374,1273641,41532
용산구,718925,821142,837232,792433,25840
은평구,1096644,1248284,1244594,1196507,39017
종로구,462206,528818,533868,508297,16575
중구,630455,711150,716457,686021,22370
중랑구,890363,1005534,1000568,965488,31483
