차량기지명,IC명,거리(km)
고덕차량사업소,강일IC,1.2137272151424443
고덕차량사업소,선동IC,1.6720403947667821
고덕차량사업소,상일IC,1.691608438009701
수서차량사업소,송파IC,2.5804856910783434
고덕차량사업소,토평IC,2.602115524412288
고덕차량사업소,미사IC,2.6588439682718974
신내차량사업소,구리IC,3.321785253038696
방화차량사업소,김포IC,3.4659139442002895
방화차량사업소,자유로IC,3.7833534954311747
신내차량사업소,퇴계원IC,4.097701062102723
창동차량사업소,별내IC,4.18082719313073
고덕차량사업소,남양주IC,4.4799328727402505
신내차량사업소,남양주IC,4.493058510047902
천왕차량사업소,금천IC,4.564907991777463
창동차량사업소,퇴계원IC,4.826856681140335
천왕차량사업소,시흥IC,4.971101466450967
고덕차량사업소,덕소삼패IC,5.083119990920359
수서차량사업소,서하남IC,5.157208944529912
신내차량사업소,별내IC,5.415940546206987
신내차량사업소,토평IC,5.566760792242494
방화차량사업소,일산IC,5.665286751492653
고덕차량사업소,서하남IC,5.976384510015386
창동차량사업소,구리IC,6.004225354480529
수서차량사업소,양재IC,6.030978253690784
신정차량사업소,금천IC,6.159418980272486
고덕차량사업소,구리IC,6.298920021394131
수서차량사업소,성남IC,6.733735865821534
신내차량사업소,강일IC,6.900788297616973
방화차량사업소,계양IC,7.245749019604084
지축차량사업소,일산IC,7.346411847637749
신내차량사업소,선동IC,7.406349391908466
방화차량사업소,부천IC,7.506373857001376
신정차량사업소,부천IC,7.61152529650834
창동차량사업소,남양주IC,7.63521365543364
천왕차량사업소,부천IC,7.687636879115389
도봉차량사업소,별내IC,7.696694230554688
천왕차량사업소,장수IC,8.143151820018119
신정차량사업소,시흥IC,8.368311068706607
신내차량사업소,미사IC,8.370156539554666
지축차량사업소,자유로IC,8.379716068132229
수서차량사업소,대왕판교IC,8.624913850068255
천왕차량사업소,송내IC,8.691129606592899
창동차량사업소,토평IC,9.00437534404638
천왕차량사업소,중동IC,9.021437218921802
천왕차량사업소,광명역IC,9.122148898288067
고덕차량사업소,퇴계원IC,9.138946827456907
신내차량사업소,상일IC,9.553660421133612
군자차량사업소,토평IC,9.667816017554877
수서차량사업소,상일IC,9.712022128179203
천왕차량사업소,목감IC,9.735061023949664
신내차량사업소,덕소삼패IC,9.798895442130037
군자차량사업소,서하남IC,9.80558023115832
수서차량사업소,판교IC,9.886522336683829
신정차량사업소,중동IC,10.061622191848027
군자차량사업소,강일IC,10.1240038332997
군자차량사업소,양재IC,10.131283439988911
도봉차량사업소,퇴계원IC,10.196684322399054
군자차량사업소,남양주IC,10.253693344882725
군자차량사업소,구리IC,10.32292081630495
창동차량사업소,강일IC,10.376001353048622
방화차량사업소,중동IC,10.485626494040877
신정차량사업소,송내IC,10.496318468002707
고덕차량사업소,송파IC,10.583813604700712
방화차량사업소,부평IC,10.597981083357181
신정차량사업소,계양IC,10.601293645502906
신정차량사업소,장수IC,10.768080780380771
창동차량사업소,선동IC,10.78444343236738
군자차량사업소,송파IC,10.97655240936399
천왕차량사업소,계양IC,11.028668263639027
군자차량사업소,상일IC,11.062693398254176
수서차량사업소,강일IC,11.149289297364653
군자차량사업소,선동IC,11.167336709915432
지축차량사업소,김포IC,11.341269576382432
창동차량사업소,미사IC,11.61700774120115
고덕차량사업소,별내IC,11.682467137822043
수서차량사업소,토평IC,11.812734846345151
신내차량사업소,서하남IC,11.84437158810107
천왕차량사업소,부평IC,11.854031607974587
군자차량사업소,퇴계원IC,11.921777518196103
신정차량사업소,광명역IC,12.057237418337325
