호선,역명,역주소
2호선,봉천,서울특별시 관악구
1호선,서울,서울특별시 중구
1호선,시청,서울특별시 중구
1호선,종각,서울특별시 종로구
1호선,종로3가,서울특별시 종로구
1호선,종로5가,서울특별시 종로구
1호선,동대문,서울특별시 종로구
1호선,신설동,서울특별시 동대문구
1호선,제기동,서울특별시 동대문구
1호선,청량리(서울시립대입구),서울특별시 동대문구
1호선,동묘앞,서울특별시 종로구
2호선,시청,서울특별시 중구
2호선,을지로입구,서울특별시 중구
2호선,을지로3가,서울특별시 중구
2호선,을지로4가,서울특별시 중구
2호선,동대문역사문화공원(DDP),서울특별시 중구
2호선,신당,서울특별시 중구
2호선,상왕십리,서울특별시 성동구
2호선,왕십리(성동구청),서울특별시 성동구
2호선,한양대,서울특별시 성동구
2호선,뚝섬,서울특별시 성동구
2호선,성수,서울특별시 성동구
2호선,건대입구,서울특별시 광진구
2호선,구의(광진구청),서울특별시 광진구
2호선,강변(동서울터미널),서울특별시 광진구
2호선,잠실나루,서울특별시 송파구
2호선,잠실(송파구청),서울특별시 송파구
2호선,잠실새내,서울특별시 송파구
2호선,종합운동장,서울특별시 송파구
2호선,삼성(무역센터),서울특별시 강남구
2호선,선릉,서울특별시 강남구
2호선,역삼,서울특별시 강남구
2호선,강남,서울특별시 강남구
2호선,"교대(법원, 검찰청)",서울특별시 서초구
2호선,서초,서울특별시 서초구
2호선,방배,서울특별시 서초구
2호선,사당,서울특별시 동작구
2호선,낙성대(강감찬),서울특별시 관악구
2호선,서울대입구(관악구청),서울특별시 관악구
2호선,신림,서울특별시 관악구
2호선,신대방,서울특별시 동작구
2호선,구로디지털단지,서울특별시 구로구
2호선,대림(구로구청),서울특별시 구로구
2호선,신도림,서울특별시 구로구
2호선,문래,서울특별시 영등포구
2호선,영등포구청,서울특별시 영등포구
2호선,당산,서울특별시 영등포구
2호선,합정,서울특별시 마포구
2호선,홍대입구,서울특별시 마포구
2호선,신촌(지하),서울특별시 마포구
2호선,이대,서울특별시 마포구
2호선,아현,서울특별시 마포구
2호선,충정로(경기대입구),서울특별시 서대문구
2호선,용답,서울특별시 성동구
