차량기지명,IC명,거리(km)
고덕차량사업소,강일IC,1.168301365555376
고덕차량사업소,강일IC,1.2591530647295128
고덕차량사업소,상일IC,1.6344311512829546
고덕차량사업소,선동IC,1.6720403947667821
고덕차량사업소,상일IC,1.7487857247364473
수서차량사업소,송파IC,2.4950631122839884
고덕차량사업소,토평IC,2.574292194211709
고덕차량사업소,토평IC,2.629938854612867
고덕차량사업소,미사IC,2.6588439682718974
수서차량사업소,송파IC,2.6659082698726984
신내차량사업소,구리IC,3.248259394298013
신내차량사업소,구리IC,3.3953111117793795
방화차량사업소,김포IC,3.4659139442002895
방화차량사업소,자유로IC,3.7833534954311747
신내차량사업소,퇴계원IC,4.097701062102723
창동차량사업소,별내IC,4.18082719313073
신내차량사업소,남양주IC,4.4578993017612865
고덕차량사업소,남양주IC,4.479310717265081
고덕차량사업소,남양주IC,4.48055502821542
신내차량사업소,남양주IC,4.528217718334519
천왕차량사업소,금천IC,4.564907991777463
창동차량사업소,퇴계원IC,4.826856681140335
천왕차량사업소,시흥IC,4.971101466450967
고덕차량사업소,덕소삼패IC,5.083119990920359
수서차량사업소,서하남IC,5.10509836762386
수서차량사업소,서하남IC,5.2093195214359636
신내차량사업소,별내IC,5.415940546206987
신내차량사업소,토평IC,5.5253599098421535
신내차량사업소,토평IC,5.608161674642836
방화차량사업소,일산IC,5.665286751492653
창동차량사업소,구리IC,5.917037566299412
고덕차량사업소,서하남IC,5.972773758125838
고덕차량사업소,서하남IC,5.979995261904935
수서차량사업소,양재IC,6.030978253690784
창동차량사업소,구리IC,6.091413142661646
신정차량사업소,금천IC,6.159418980272486
고덕차량사업소,구리IC,6.231292966981875
고덕차량사업소,구리IC,6.366547075806387
수서차량사업소,성남IC,6.733735865821534
신내차량사업소,강일IC,6.800291274605258
신내차량사업소,강일IC,7.001285320628689
방화차량사업소,계양IC,7.245749019604084
지축차량사업소,일산IC,7.346411847637749
신내차량사업소,선동IC,7.406349391908466
방화차량사업소,부천IC,7.506373857001376
창동차량사업소,남양주IC,7.60818071045432
신정차량사업소,부천IC,7.61152529650834
창동차량사업소,남양주IC,7.662246600412961
천왕차량사업소,부천IC,7.687636879115389
도봉차량사업소,별내IC,7.696694230554688
천왕차량사업소,장수IC,8.143151820018119
신정차량사업소,시흥IC,8.368311068706607
신내차량사업소,미사IC,8.370156539554666
지축차량사업소,자유로IC,8.379716068132229
수서차량사업소,대왕판교IC,8.624913850068255
천왕차량사업소,송내IC,8.691129606592899
창동차량사업소,토평IC,8.965801710357368
천왕차량사업소,중동IC,9.021437218921802
창동차량사업소,토평IC,9.042948977735394
천왕차량사업소,광명역IC,9.122148898288067
고덕차량사업소,퇴계원IC,9.138946827456907
신내차량사업소,상일IC,9.521725135096787
신내차량사업소,상일IC,9.585595707170437
군자차량사업소,토평IC,9.626319334352726
수서차량사업소,상일IC,9.631079807546156
군자차량사업소,토평IC,9.709312700757028
군자차량사업소,서하남IC,9.720369323684675
천왕차량사업소,목감IC,9.735061023949664
수서차량사업소,상일IC,9.792964448812251
신내차량사업소,덕소삼패IC,9.798895442130037
수서차량사업소,판교IC,9.886522336683829
군자차량사업소,서하남IC,9.890791138631963
군자차량사업소,강일IC,9.989404270271278
신정차량사업소,중동IC,10.061622191848027
군자차량사업소,양재IC,10.131283439988911
도봉차량사업소,퇴계원IC,10.196684322399054
군자차량사업소,남양주IC,10.211620962694338
군자차량사업소,강일IC,10.258603396328121
창동차량사업소,강일IC,10.283096068729499
군자차량사업소,구리IC,10.289560888303173
군자차량사업소,남양주IC,10.295765727071112
군자차량사업소,구리IC,10.356280744306726
창동차량사업소,강일IC,10.468906637367743
방화차량사업소,중동IC,10.485626494040877
신정차량사업소,송내IC,10.496318468002707
고덕차량사업소,송파IC,10.57939125979422
고덕차량사업소,송파IC,10.588235949607204
방화차량사업소,부평IC,10.597981083357181
신정차량사업소,계양IC,10.601293645502906
신정차량사업소,장수IC,10.768080780380771
창동차량사업소,선동IC,10.78444343236738
군자차량사업소,송파IC,10.90153601319662
천왕차량사업소,계양IC,11.028668263639027
군자차량사업소,상일IC,11.030522840519907
군자차량사업소,송파IC,11.05156880553136
수서차량사업소,강일IC,11.073134636954608
군자차량사업소,상일IC,11.094863955988446
군자차량사업소,선동IC,11.167336709915432
수서차량사업소,강일IC,11.2254439577747
지축차량사업소,김포IC,11.341269576382432
창동차량사업소,미사IC,11.61700774120115
고덕차량사업소,별내IC,11.682467137822043
신내차량사업소,서하남IC,11.788977070700136
수서차량사업소,토평IC,11.799233451168488
수서차량사업소,토평IC,11.826236241521816
천왕차량사업소,부평IC,11.854031607974587
신내차량사업소,서하남IC,11.899766105502005
군자차량사업소,퇴계원IC,11.921777518196103
신정차량사업소,광명역IC,12.057237418337325
신정차량사업소,김포IC,12.072254313571289
수서차량사업소,선동IC,12.072551953380017
방화차량사업소,송내IC,12.3690172171264
신정차량사업소,부평IC,12.42503477311499
군자차량사업소,미사IC,12.508659668201734
도봉차량사업소,구리IC,12.590243530865147
창동차량사업소,덕소삼패IC,12.69939153289587
도봉차량사업소,구리IC,12.751212096729601
신정차량사업소,목감IC,12.850575613463876
군자차량사업소,별내IC,13.00211548586617
신정차량사업소,자유로IC,13.008472620763232
창동차량사업소,상일IC,13.048724262407346
창동차량사업소,상일IC,13.116510620318278
수서차량사업소,미사IC,13.126409403944017
수서차량사업소,남양주IC,13.48849742606236
수서차량사업소,남양주IC,13.542522913695842
천왕차량사업소,산본IC,13.800697367438401
방화차량사업소,서인천IC,13.82704294491834
천왕차량사업소,김포IC,14.188951251961708
방화차량사업소,장수IC,14.364768832243483
도봉차량사업소,남양주IC,14.498254031542029
