차량기지,구분,호선,전철역코드,역명,수송비용,유휴공간,교통량
신정차량사업소,관악구,2,229,봉천,0.5099667774,0.005878706063,0.842507215
신정차량사업소,관악구,2,227,낙성대,0.476744186,0.02217651909,0.842507215
신정차량사업소,관악구,2,228,서울대입구,0.4933554817,0.009047150018,0.842507215
신정차량사업소,관악구,2,230,신림,0.5282392027,0.008542373408,0.842507215
군자차량사업소,중구,1,150,서울,0,0.005824345505,0.9514683302
창동차량사업소,중구,4,426,서울,0.6214511041,,0.5956364104
군자차량사업소,용산구,1,150,서울,0,0.005824345505,0.9514683302
창동차량사업소,용산구,4,426,서울,0.6214511041,,0.5956364104
군자차량사업소,중구,1,151,시청,0.141025641,0.02243408459,0.9514683302
신정차량사업소,중구,2,201,시청,0,,0.9514683302
신정차량사업소,중구,2,201,시청,0.8106312292,,0.9514683302
군자차량사업소,중구,1,151,시청,0.141025641,0.02243408459,0.9514683302
신정차량사업소,중구,2,201,시청,0,,0.9514683302
신정차량사업소,중구,2,201,시청,0.8106312292,,0.9514683302
신정차량사업소,중구,2,202,을지로입구,0.01162790698,0.09349368835,0.9514683302
신정차량사업소,중구,2,203,을지로3가,0.02491694352,0.02151901519,0.9514683302
지축차량사업소,중구,3,320,을지로3가,0.7796610169,0.007325732347,0.9514683302
신정차량사업소,중구,2,203,을지로3가,0.02491694352,0.02151901519,0.9514683302
지축차량사업소,중구,3,320,을지로3가,0.7796610169,0.007325732347,0.9514683302
신정차량사업소,중구,2,204,을지로4가,0.03488372093,0.02090810607,0.9514683302
방화차량사업소,중구,5,2536,을지로4가,0.8795986622,0.02382804461,0.9514683302
신정차량사업소,중구,2,204,을지로4가,0.03488372093,0.02090810607,0.9514683302
방화차량사업소,중구,5,2536,을지로4가,0.8795986622,0.02382804461,0.9514683302
신정차량사업소,중구,2,205,동대문역사문화공원,0.05149501661,0.029669216,0.9514683302
창동차량사업소,중구,4,422,동대문역사문화공원,0.5078864353,0.02857423905,0.9514683302
방화차량사업소,중구,5,2537,동대문역사문화공원,0.9096989967,,0.9514683302
신정차량사업소,중구,2,205,동대문역사문화공원,0.05149501661,0.029669216,0.9514683302
창동차량사업소,중구,4,422,동대문역사문화공원,0.5078864353,0.02857423905,0.9514683302
방화차량사업소,중구,5,2537,동대문역사문화공원,0.9096989967,,0.9514683302
신정차량사업소,중구,2,205,동대문역사문화공원,0.05149501661,0.029669216,0.9514683302
창동차량사업소,중구,4,422,동대문역사문화공원,0.5078864353,0.02857423905,0.9514683302
방화차량사업소,중구,5,2537,동대문역사문화공원,0.9096989967,,0.9514683302
신정차량사업소,중구,2,206,신당,0.06644518272,0.003341880021,0.9514683302
신내차량사업소,중구,6,2636,신당,0.6785714286,0.04856727572,0.9514683302
신정차량사업소,중구,2,206,신당,0.06644518272,0.003341880021,0.9514683302
신내차량사업소,중구,6,2636,신당,0.6785714286,0.04856727572,0.9514683302
지축차량사업소,중구,3,321,충무로,0.8192090395,,0.9514683302
창동차량사업소,중구,4,423,충무로,0.5488958991,0.03554145057,0.9514683302
지축차량사업소,중구,3,321,충무로,0.8192090395,,0.9514683302
창동차량사업소,중구,4,423,충무로,0.5488958991,0.03554145057,0.9514683302
지축차량사업소,중구,3,322,동대입구,0.8700564972,0.03093504043,0.9514683302
지축차량사업소,중구,3,323,약수,0.9096045198,0.004386379315,0.9514683302
신내차량사업소,중구,6,2634,약수,0.6373626374,0.009966102309,0.9514683302
지축차량사업소,중구,3,323,약수,0.9096045198,0.004386379315,0.9514683302
신내차량사업소,중구,6,2634,약수,0.6373626374,0.009966102309,0.9514683302
창동차량사업소,중구,4,424,명동,0.570977918,0.003365177403,0.9514683302
창동차량사업소,중구,4,425,회현,0.5930599369,0.01708474682,0.9514683302
방화차량사업소,중구,5,2538,청구,0.9397993311,0.01840752039,0.9514683302
