구분,10월,11월,12월,월 평균,일 평균
강남구,1906553,2140187,2340527,2129089,69427
강동구,613974,725903,712541,684139,22309
강북구,463450,525812,478381,489214,15953
강서구,1913266,2219659,2180487,2104471,68624
관악구,511945,615135,613539,580206,18920
광진구,752355,849956,888628,830313,27075
구로구,820675,912984,979649,904436,29492
금천구,1892209,2000072,1899967,1930749,62959
노원구,590481,655340,622290,622704,20306
도봉구,709438,770334,718909,732894,23899
동대문구,1113456,1262658,1224275,1200130,39135
동작구,541753,551994,565257,553001,18033
마포구,1473139,1959310,1825241,1752563,57149
서대문구,419093,510722,533650,487822,15907
서초구,851510,912081,1058731,940774,30677
성동구,1476095,1524306,1455893,1485431,48438
성북구,2058338,2300768,2275704,2211603,72118
송파구,2340553,2428974,2626830,2465452,80395
양천구,562422,652303,709810,641512,20919
영등포구,1018915,1166978,1180992,1122295,36597
용산구,1124541,1292160,1396944,1271215,41453
은평구,486603,582226,545974,538268,17552
종로구,715004,780950,791135,762363,24860
중구,1166807,1243433,1190651,1200297,39140
중랑구,934335,1064676,1094849,1031287,33629
